event_id,customer_id,order_id,event_timestamp,event_type,session_id,device_type,zone_context,api_latency_ms,success_flag,app_event_failed,high_latency_event
AE00001,C0488,,2024-08-09 03:25:00,eta_refresh,S19847,android,north,301,1,0,1
AE00002,C0595,O00950,2024-02-13 22:29:00,search_route,S32766,android,south,60,1,0,0
AE00003,C0494,O00170,2025-08-11 09:29:00,chat_opened,S99516,ios,airport,1118,1,0,1
AE00004,C0407,O00756,2025-08-23 17:38:00,eta_refresh,S41236,ios,central,442,1,0,1
AE00005,C0506,,2024-05-29 10:33:00,search_route,S12030,ios,north,60,1,0,0
AE00006,C0498,O01196,2025-02-08 09:50:00,track_order,S66655,web,west,499,1,0,1
AE00007,C0033,O00028,2025-04-20 19:06:00,chat_opened,S79495,android,south,169,1,0,0
AE00008,C0091,O00076,2024-08-18 02:08:00,search_route,S59028,android,ctr,431,1,0,1
AE00009,C0421,O01222,2025-07-20 11:46:00,eta_refresh,S76526,web,north,609,1,0,1
AE00010,C0553,O00854,2024-07-10 13:11:00,chat_opened,S24618,android,west,167,1,0,0
AE00011,C0643,O00192,2025-05-10 11:23:00,delivery_instruction_update,S22799,ios,ctr,182,1,0,0
AE00012,C0095,O01080,2025-12-10 19:11:00,chat_escalated,S57519,android,ctr,60,1,0,0
AE00013,C0479,O00414,2024-05-28 15:11:00,chat_escalated,S37114,web,west,399,0,1,1
AE00014,C0626,O01054,2025-04-04 13:19:00,track_order,S75243,android,airport,998,1,0,1
AE00015,C0014,O00860,2024-08-16 15:27:00,chat_opened,S71663,android,west,238,1,0,0
AE00016,C0506,,2024-01-13 06:22:00,search_route,S47757,ios,riverside,536,1,0,1
AE00017,C0170,O00424,2024-04-04 06:22:00,chat_escalated,S30048,android,north,624,0,1,1
AE00018,C0530,O00295,2025-11-12 08:58:00,delivery_instruction_update,S76990,android,north,626,1,0,1
AE00019,C0179,O00628,2025-03-31 17:14:00,track_order,S88326,android,south,707,1,0,1
AE00020,C0116,O01065,2025-10-25 19:05:00,chat_opened,S81897,android,north,196,1,0,0
AE00021,C0317,,2025-09-22 05:58:00,search_route,S89590,android,ctr,494,1,0,1
AE00022,C0188,O00844,2024-03-28 22:47:00,delivery_instruction_update,S29750,ios,south,760,1,0,1
AE00023,C0543,O00854,2024-10-16 14:48:00,chat_opened,S76975,ios,north,644,1,0,1
AE00024,C0022,O01082,2024-03-11 19:51:00,track_order,S59171,android,east,60,1,0,0
AE00025,C0486,,2025-06-27 22:42:00,track_order,S29906,ios,north,350,1,0,1
AE00026,C0490,O00330,2024-11-16 23:54:00,eta_refresh,S93151,android,north,388,1,0,1
AE00027,C0574,O00077,2024-05-12 06:04:00,delivery_instruction_update,S14580,ios,riverside,886,1,0,1
AE00028,C0166,,2024-09-27 00:44:00,track_order,S26243,android,south,570,1,0,1
AE00029,C0367,,2024-03-27 16:30:00,payment_retry,S27022,android,east,435,1,0,1
AE00030,C0455,O00229,2025-06-07 02:10:00,chat_opened,S74816,ios,west,403,1,0,1
AE00031,C0241,O01158,2024-06-09 05:13:00,track_order,S52070,ios,airport,1660,1,0,1
AE00032,C0226,O00402,2025-09-20 00:20:00,search_route,S18892,android,east,632,1,0,1
AE00033,C0587,O00742,2025-01-03 09:32:00,track_order,S56165,android,north,520,1,0,1
AE00034,C0245,,2025-08-21 08:08:00,search_route,S39479,android,central,510,1,0,1
AE00035,C0017,,2025-10-08 17:17:00,payment_retry,S20798,ios,south,60,1,0,0
AE00036,C0007,O00977,2025-05-03 17:47:00,chat_escalated,S19561,ios,ctr,362,0,1,1
AE00037,C0160,,2025-08-26 22:16:00,chat_opened,S73982,android,east,458,1,0,1
AE00038,C0166,O00475,2025-09-25 11:47:00,eta_refresh,S10481,ios,west,324,1,0,1
AE00039,C0274,,2024-01-09 23:40:00,payment_retry,S24754,ios,ctr,528,1,0,1
AE00040,C0532,O01015,2025-11-17 09:32:00,search_route,S82851,ios,west,724,1,0,1
AE00041,C0075,O00349,2025-05-24 04:19:00,track_order,S44614,android,riverside,670,1,0,1
AE00042,C0409,O00044,2024-09-18 07:02:00,search_route,S80779,ios,north,524,1,0,1
AE00043,C0200,O00954,2024-11-27 18:10:00,eta_refresh,S78974,android,west,287,1,0,0
AE00044,C0633,O01022,2025-06-04 17:13:00,search_route,S44218,android,central,588,1,0,1
AE00045,C0163,O00696,2024-10-09 22:04:00,payment_retry,S76855,ios,airport,555,1,0,1
AE00046,C0531,O00016,2024-10-30 13:13:00,search_route,S55883,web,west,326,1,0,1
AE00047,C0063,O00159,2024-09-18 14:52:00,track_order,S29662,ios,east,344,1,0,1
AE00048,C0306,O01222,2025-02-25 04:16:00,chat_escalated,S77519,android,riverside,166,0,1,0
AE00049,C0381,O01086,2025-11-11 17:22:00,chat_opened,S99244,android,west,113,1,0,0
AE00050,C0114,,2024-01-05 23:16:00,track_order,S64182,android,north,545,1,0,1
AE00051,C0080,O00512,2025-10-18 21:50:00,eta_refresh,S35136,android,ctr,473,1,0,1
AE00052,C0326,O01080,2024-02-12 02:37:00,payment_retry,S42021,android,north,570,0,1,1
AE00053,C0349,O00467,2024-11-28 23:28:00,delivery_instruction_update,S83805,ios,south,255,1,0,0
AE00054,C0138,O00189,2025-05-01 02:00:00,search_route,S82990,ios,south,73,1,0,0
AE00055,C0120,O00922,2024-09-29 23:08:00,track_order,S55056,ios,airport,800,1,0,1
AE00056,C0556,O01180,2025-09-23 17:24:00,payment_retry,S77071,android,north,592,0,1,1
AE00057,C0266,O00600,2025-11-03 13:54:00,track_order,S51373,android,east,585,1,0,1
AE00058,C0187,,2025-08-26 16:54:00,search_route,S24062,ios,airport,207,1,0,0
AE00059,C0613,,2024-12-30 21:49:00,delivery_instruction_update,S18202,android,east,327,1,0,1
AE00060,C0490,O00551,2025-09-14 12:20:00,search_route,S69751,ios,central,270,1,0,0
AE00061,C0551,O01205,2025-03-31 09:18:00,track_order,S46023,ios,airport,418,1,0,1
AE00062,C0116,O01105,2024-01-29 07:08:00,track_order,S57220,android,riverside,838,1,0,1
AE00063,C0549,O00656,2024-11-06 15:04:00,delivery_instruction_update,S42721,android,east,274,1,0,0
AE00064,C0515,O00032,2024-09-16 15:36:00,track_order,S99350,android,central,840,1,0,1
AE00065,C0127,O01042,2024-04-03 04:07:00,delivery_instruction_update,S23520,android,east,287,1,0,0
AE00066,C0612,,2025-05-19 07:41:00,payment_retry,S90136,android,riverside,60,0,1,0
AE00067,C0113,O00822,2025-04-28 01:07:00,eta_refresh,S57776,android,north,594,1,0,1
AE00068,C0130,O00096,2024-04-06 13:41:00,chat_opened,S29137,android,ctr,60,1,0,0
AE00069,C0303,,2025-02-13 15:13:00,payment_retry,S60656,android,south,637,0,1,1
AE00070,C0063,O00689,2025-06-11 06:37:00,chat_opened,S88132,ios,central,477,1,0,1
AE00071,C0565,O01092,2024-10-11 06:33:00,chat_opened,S38006,ios,east,300,1,0,0
AE00072,C0006,O00802,2025-11-10 23:09:00,track_order,S37414,android,ctr,155,1,0,0
AE00073,C0521,,2025-08-20 22:37:00,cancel_attempt,S18062,web,airport,392,1,0,1
AE00074,C0522,,2025-04-13 00:33:00,chat_opened,S11111,ios,airport,347,1,0,1
AE00075,C0439,O00245,2024-09-22 13:20:00,delivery_instruction_update,S47526,ios,airport,463,1,0,1
AE00076,C0221,O01006,2025-04-19 07:46:00,delivery_instruction_update,S50746,android,east,1005,1,0,1
AE00077,C0549,O01026,2024-06-12 20:18:00,search_route,S59198,ios,east,546,1,0,1
AE00078,C0328,,2025-04-30 19:26:00,eta_refresh,S67487,android,airport,853,1,0,1
AE00079,C0371,O00950,2025-02-28 12:58:00,delivery_instruction_update,S75895,ios,riverside,646,1,0,1
AE00080,C0181,O00757,2024-01-08 01:12:00,search_route,S51497,android,south,783,1,0,1
AE00081,C0182,O00976,2024-05-14 22:41:00,track_order,S96252,android,west,422,1,0,1
AE00082,C0231,O00506,2025-12-03 00:20:00,search_route,S46240,ios,east,60,1,0,0
AE00083,C0215,O00602,2024-09-12 22:25:00,track_order,S29184,ios,east,265,1,0,0
AE00084,C0021,O01124,2024-02-22 02:18:00,delivery_instruction_update,S65491,ios,south,688,1,0,1
AE00085,C0634,O01212,2024-03-20 07:47:00,delivery_instruction_update,S30667,android,airport,843,1,0,1
AE00086,C0256,,2024-03-16 01:54:00,search_route,S82272,ios,south,813,1,0,1
AE00087,C0218,O00386,2024-06-27 01:58:00,search_route,S21479,android,riverside,401,1,0,1
AE00088,C0157,,2024-06-12 21:08:00,chat_opened,S21347,android,north,561,1,0,1
AE00089,C0637,O00619,2024-01-02 17:18:00,search_route,S54109,web,north,60,1,0,0
AE00090,C0044,O00078,2025-07-17 23:08:00,payment_retry,S76455,android,north,820,1,0,1
AE00091,C0204,O00772,2025-12-06 06:51:00,chat_escalated,S24981,ios,east,610,1,0,1
AE00092,C0129,O00080,2025-04-22 23:16:00,eta_refresh,S30798,android,ctr,522,1,0,1
AE00093,C0025,O00405,2024-02-13 15:40:00,payment_retry,S57429,ios,east,440,1,0,1
AE00094,C0010,,2025-08-01 11:56:00,track_order,S78031,ios,south,573,1,0,1
AE00095,C0428,O01057,2025-05-16 01:12:00,delivery_instruction_update,S81735,web,west,399,1,0,1
AE00096,C0424,O00426,2025-02-07 00:14:00,track_order,S50881,web,east,562,1,0,1
AE00097,C0468,O00460,2025-06-10 04:05:00,payment_retry,S77602,android,riverside,404,0,1,1
AE00098,C0101,,2025-01-31 14:10:00,chat_escalated,S89859,ios,riverside,401,1,0,1
AE00099,C0095,O00709,2024-04-25 00:36:00,payment_retry,S33955,android,riverside,138,1,0,0
AE00100,C0312,,2024-05-29 17:36:00,chat_escalated,S86296,android,airport,137,0,1,0
AE00101,C0149,,2025-08-08 19:08:00,cancel_attempt,S34862,web,central,618,1,0,1
AE00102,C0272,O01227,2025-05-13 09:40:00,chat_escalated,S62522,android,east,982,1,0,1
AE00103,C0306,O00114,2025-10-02 10:34:00,payment_retry,S19712,web,north,551,1,0,1
AE00104,C0429,O00170,2024-03-19 16:37:00,chat_opened,S25315,android,riverside,649,1,0,1
AE00105,C0540,O00428,2024-05-28 05:14:00,cancel_attempt,S64900,ios,riverside,153,1,0,0
AE00106,C0360,O01144,2025-01-25 13:47:00,search_route,S96181,android,south,216,1,0,0
AE00107,C0081,O00858,2024-01-24 03:08:00,chat_escalated,S34476,android,north,449,0,1,1
AE00108,C0307,,2024-11-27 16:15:00,eta_refresh,S13993,web,ctr,1285,1,0,1
AE00109,C0114,O00393,2024-07-17 12:02:00,eta_refresh,S22089,android,airport,533,1,0,1
AE00110,C0382,O00099,2024-07-03 02:04:00,delivery_instruction_update,S87255,web,ctr,209,1,0,0
AE00111,C0565,O00055,2025-02-06 03:15:00,cancel_attempt,S80723,android,riverside,219,1,0,0
AE00112,C0259,O00051,2025-04-24 08:45:00,search_route,S67232,android,central,602,1,0,1
AE00113,C0540,O01132,2024-02-27 18:25:00,search_route,S21806,android,west,510,1,0,1
AE00114,C0135,O00217,2025-06-02 18:48:00,eta_refresh,S46677,ios,west,464,1,0,1
AE00115,C0012,O00781,2025-12-29 23:12:00,track_order,S41963,ios,north,546,1,0,1
AE00116,C0237,O00033,2024-07-16 05:19:00,eta_refresh,S56150,ios,ctr,422,1,0,1
AE00117,C0122,O00043,2024-04-11 11:39:00,track_order,S18818,android,north,387,1,0,1
AE00118,C0459,O00059,2024-07-12 20:41:00,track_order,S52877,android,north,629,1,0,1
AE00119,C0153,O00021,2024-01-13 16:25:00,track_order,S89481,web,north,628,1,0,1
AE00120,C0429,O00367,2024-08-09 08:11:00,delivery_instruction_update,S53741,android,ctr,1218,1,0,1
AE00121,C0451,O00857,2025-09-30 03:14:00,payment_retry,S19782,android,west,862,0,1,1
AE00122,C0178,O00979,2025-07-16 15:36:00,eta_refresh,S68778,ios,east,312,1,0,1
AE00123,C0250,O00011,2024-11-15 06:53:00,payment_retry,S15600,android,central,1558,1,0,1
AE00124,C0348,,2025-03-06 23:34:00,eta_refresh,S29360,android,east,537,1,0,1
AE00125,C0430,O01083,2025-06-22 18:22:00,delivery_instruction_update,S35887,android,south,510,1,0,1
AE00126,C0343,O00847,2024-12-13 22:02:00,eta_refresh,S81938,ios,central,433,1,0,1
AE00127,C0135,O01205,2025-11-12 01:05:00,track_order,S33676,web,west,299,1,0,0
AE00128,C0139,,2025-03-21 11:03:00,chat_opened,S89566,android,riverside,302,1,0,1
AE00129,C0234,O01211,2024-08-28 20:20:00,search_route,S11783,android,south,304,1,0,1
AE00130,C0499,O00863,2024-01-12 22:22:00,delivery_instruction_update,S63325,android,east,286,1,0,0
AE00131,C0344,O00395,2025-12-09 05:51:00,eta_refresh,S40076,android,east,751,1,0,1
AE00132,C0504,O00741,2024-04-30 13:14:00,chat_opened,S11696,android,west,375,1,0,1
AE00133,C0119,,2025-10-13 19:59:00,eta_refresh,S63204,android,west,512,1,0,1
AE00134,C0074,O00216,2024-12-31 16:38:00,eta_refresh,S31994,android,airport,368,1,0,1
AE00135,C0447,O00395,2025-05-03 11:11:00,chat_opened,S28174,ios,east,418,1,0,1
AE00136,C0324,,2025-09-05 10:01:00,payment_retry,S41186,android,east,491,1,0,1
AE00137,C0318,O00669,2024-07-19 21:36:00,search_route,S42305,android,north,289,1,0,0
AE00138,C0495,O00863,2024-07-04 03:28:00,delivery_instruction_update,S41862,ios,south,641,1,0,1
AE00139,C0589,O01195,2024-04-06 09:08:00,track_order,S18650,ios,south,263,1,0,0
AE00140,C0026,O00312,2024-07-30 22:16:00,track_order,S35078,ios,west,639,1,0,1
AE00141,C0644,O00956,2024-07-21 16:03:00,track_order,S51247,android,ctr,901,1,0,1
AE00142,C0005,O00103,2024-04-18 04:39:00,track_order,S33250,android,west,187,1,0,0
AE00143,C0025,O00124,2024-07-18 18:59:00,cancel_attempt,S88076,android,airport,1039,1,0,1
AE00144,C0347,O00708,2024-10-08 10:04:00,eta_refresh,S80449,android,north,648,1,0,1
AE00145,C0062,O01049,2024-08-31 23:03:00,delivery_instruction_update,S88111,ios,central,159,1,0,0
AE00146,C0228,O00311,2025-08-02 23:18:00,track_order,S69169,android,north,275,1,0,0
AE00147,C0128,O00020,2024-09-28 14:16:00,track_order,S54633,ios,central,836,1,0,1
AE00148,C0634,,2025-07-16 13:16:00,track_order,S69151,android,airport,263,1,0,0
AE00149,C0236,O00733,2024-03-04 12:19:00,delivery_instruction_update,S97668,android,east,191,1,0,0
AE00150,C0207,O00017,2025-12-02 08:49:00,cancel_attempt,S30266,android,south,118,1,0,0
AE00151,C0472,O00129,2024-11-24 20:48:00,search_route,S28386,android,airport,1035,1,0,1
AE00152,C0134,O00890,2025-10-28 12:42:00,payment_retry,S79279,ios,east,609,1,0,1
AE00153,C0540,,2024-10-28 03:03:00,search_route,S92690,android,ctr,360,1,0,1
AE00154,C0096,O00813,2025-04-03 00:09:00,track_order,S26942,ios,riverside,187,1,0,0
AE00155,C0256,O01136,2025-06-19 05:14:00,search_route,S78880,ios,east,780,1,0,1
AE00156,C0004,O00998,2025-05-12 19:56:00,chat_opened,S19094,android,north,618,1,0,1
AE00157,C0568,O01041,2025-07-05 07:53:00,chat_opened,S94050,android,east,669,1,0,1
