complaint_id,customer_id_x,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount,severity_score,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status,customer_id_y,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag
CP0001,C0464,O00814,appissue,app,high,2025-03-30 02:36:00,open,11,23.99,3,71,airport,enterprise,2024-07-27 08:02:00,28.8,49.2,phone,dormant,C0464,passenger,2025-03-26 02:36:00,12,east,riverside,medium,27.9,phone,0
CP0002,C0056,O00628,missedpickup,phone,medium,2024-11-07 10:05:00,open,4,21.64,2,54,north,consumer,2024-06-03 02:11:00,71.1,32.0,app,active,C0056,passenger,2024-10-26 10:05:00,12,riverside,north,medium,52.85,app,1
CP0003,C0469,O00384,delay,chatbot,high,2024-01-02 15:47:00,open,16,26.41,3,20,north,consumer,2024-11-15 02:13:00,59.6,60.5,app,active,C0469,medical,2024-01-01 15:47:00,4,ctr,central,low,12.58,web,0
CP0004,C0631,O00406,delay,app,medium,2025-01-14 13:07:00,awaitingcustomer,7,23.44,2,44,north,consumer,2024-02-12 04:44:00,65.8,81.4,web,active,C0631,retail,2025-01-05 13:07:00,2,airport,riverside,critical,59.17,app,0
CP0005,C0535,O00154,delay,email,medium,2024-08-31 05:56:00,resolved,1,16.18,2,39,south,consumer,2024-06-18 21:50:00,38.6,80.2,web,active,C0535,business,2024-08-20 05:56:00,12,north,airport,low,105.88,web,1
CP0006,C0096,O00147,delay,app,medium,2024-07-22 07:43:00,resolved,9,18.51,2,73,west,consumer,2024-07-18 07:52:00,31.8,58.2,unknown,active,C0096,retail,2024-07-12 07:43:00,6,north,west,critical,32.27,app,0
CP0007,C0597,O00981,missedpickup,app,medium,2025-01-15 21:57:00,escalated,4,14.14,2,74,north,consumer,2024-11-12 02:19:00,57.2,64.3,phone,active,C0597,medical,2025-01-11 21:57:00,24,airport,riverside,high,107.45,app,0
CP0008,C0309,O00902,appissue,email,high,2024-09-26 19:41:00,resolved,18,0.0,3,78,airport,sme,2024-03-23 01:59:00,29.0,72.8,app,active,C0309,parcel,2024-09-22 19:41:00,6,east,west,medium,70.09,app,0
CP0009,C0340,O00011,delay,app,low,2025-08-16 04:19:00,resolved,4,26.35,1,43,east,consumer,2025-03-18 09:54:00,34.7,26.3,app,active,C0340,parcel,2025-08-04 04:19:00,12,west,central,low,79.1,phone,0
CP0010,C0486,O00417,driverbehaviour,phone,medium,2025-01-13 15:33:00,open,1,6.32,2,50,west,enterprise,2025-01-08 14:49:00,52.5,76.4,app,active,C0486,retail,2025-01-10 15:33:00,4,south,riverside,low,113.56,,0
