complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount,severity_score
CP0001,C0464,O00814,appissue,app,high,2025-03-30 02:36:00,open,11,23.99,3
CP0002,C0056,O00628,missedpickup,phone,medium,2024-11-07 10:05:00,open,4,21.64,2
CP0003,C0469,O00384,delay,chatbot,high,2024-01-02 15:47:00,open,16,26.41,3
CP0004,C0631,O00406,delay,app,medium,2025-01-14 13:07:00,awaitingcustomer,7,23.44,2
CP0005,C0535,O00154,delay,email,medium,2024-08-31 05:56:00,resolved,1,16.18,2
CP0006,C0096,O00147,delay,app,medium,2024-07-22 07:43:00,resolved,9,18.51,2
CP0007,C0597,O00981,missedpickup,app,medium,2025-01-15 21:57:00,escalated,4,14.14,2
CP0008,C0309,O00902,appissue,email,high,2024-09-26 19:41:00,resolved,18,0.0,3
CP0009,C0340,O00011,delay,app,low,2025-08-16 04:19:00,resolved,4,26.35,1
CP0010,C0486,O00417,driverbehaviour,phone,medium,2025-01-13 15:33:00,open,1,6.32,2
CP0011,C0618,O00437,delay,app,medium,2025-09-29 06:54:00,open,15,19.97,2
CP0012,C0362,O00504,appissue,email,high,2024-09-20 22:57:00,resolved,12,33.8,3
CP0013,C0157,O00008,missedpickup,phone,medium,2024-04-08 17:54:00,resolved,8,15.77,2
CP0014,C0545,O00980,billing,chatbot,medium,2024-11-30 23:02:00,resolved,14,7.08,2
CP0015,C0486,O00417,delay,chatbot,low,2025-01-18 15:33:00,open,4,0.0,1
CP0016,C0234,O00013,missedpickup,app,medium,2024-03-30 22:11:00,resolved,10,0.0,2
CP0017,C0346,O01181,delay,phone,medium,2024-03-06 23:10:00,resolved,1,1.16,2
CP0018,C0100,O01151,missedpickup,chatbot,medium,2024-07-05 12:48:00,resolved,1,9.39,2
CP0019,C0228,O00702,appissue,app,medium,2025-01-07 19:23:00,resolved,1,19.24,2
CP0020,C0371,O01043,driverbehaviour,phone,high,2024-08-04 17:26:00,resolved,11,33.27,3
CP0021,C0354,O00353,delay,chatbot,medium,2024-01-09 05:14:00,resolved,5,26.95,2
CP0022,C0516,O00117,damage,chatbot,low,2024-06-18 09:38:00,awaitingcustomer,10,15.62,1
CP0023,C0193,O00953,driverbehaviour,app,low,2025-04-03 01:07:00,resolved,14,0.93,1
CP0024,C0519,O00677,appissue,chatbot,medium,2024-03-11 05:19:00,escalated,9,0.0,2
CP0025,C0617,O00654,delay,app,medium,2025-06-19 21:03:00,resolved,4,11.64,2
CP0026,C0408,O00810,supportexperience,app,medium,2024-04-16 03:37:00,resolved,13,18.44,2
CP0027,C0626,O00948,delay,email,low,2025-05-19 03:07:00,resolved,1,2.18,1
CP0028,C0242,O00920,delay,phone,medium,2024-08-02 11:42:00,resolved,1,13.31,2
CP0029,C0477,O00715,missedpickup,chatbot,medium,2025-06-27 13:42:00,resolved,9,4.01,2
CP0030,C0529,O00682,delay,email,high,2024-10-07 09:57:00,escalated,22,34.84,3
CP0031,C0618,O00886,billing,phone,medium,2024-12-11 11:04:00,escalated,2,30.35,2
CP0032,C0185,O00051,billing,phone,medium,2025-02-14 23:39:00,resolved,7,7.09,2
CP0033,C0489,O00848,missedpickup,app,medium,2025-06-13 14:13:00,resolved,8,34.92,2
CP0034,C0070,O00105,driverbehaviour,app,medium,2024-07-13 20:33:00,awaitingcustomer,1,4.09,2
CP0035,C0206,O00650,delay,email,low,2025-10-03 10:28:00,resolved,5,0.0,1
CP0036,C0282,O00751,delay,app,medium,2024-07-08 00:51:00,awaitingcustomer,2,42.3,2
CP0037,C0561,O00270,missedpickup,chatbot,medium,2025-11-05 15:25:00,awaitingcustomer,18,7.33,2
CP0038,C0562,O00175,delay,chatbot,medium,2025-12-19 19:13:00,resolved,1,19.48,2
CP0039,C0231,O00797,delay,email,high,2025-03-28 04:08:00,resolved,14,24.39,3
CP0040,C0512,O00300,delay,email,high,2024-04-11 00:39:00,resolved,9,0.0,3
CP0041,C0146,O00744,missedpickup,chatbot,medium,2025-04-27 03:30:00,open,9,30.4,2
CP0042,C0361,O00094,supportexperience,email,medium,2024-10-06 03:41:00,resolved,4,26.2,2
CP0043,C0497,O00411,appissue,app,medium,2025-04-16 21:05:00,resolved,11,15.35,2
CP0044,C0549,O00838,missedpickup,email,high,2025-01-28 00:04:00,resolved,11,25.0,3
CP0045,C0599,O00421,driverbehaviour,email,medium,2025-07-24 06:00:00,awaitingcustomer,6,8.74,2
CP0046,C0269,O00573,missedpickup,email,high,2024-04-27 09:36:00,resolved,9,60.3,3
CP0047,C0012,O01157,appissue,phone,medium,2024-07-09 19:51:00,resolved,11,19.21,2
CP0048,C0393,O00576,missedpickup,phone,high,2024-09-14 19:49:00,resolved,22,22.5,3
CP0049,C0146,O00126,driverbehaviour,email,medium,2024-05-27 09:04:00,resolved,4,19.76,2
CP0050,C0163,O00955,driverbehaviour,phone,high,2025-01-11 14:30:00,resolved,14,37.36,3
CP0051,C0274,O00863,appissue,phone,medium,2025-09-22 18:41:00,resolved,2,3.9,2
CP0052,C0157,O00115,supportexperience,app,low,2024-02-25 06:31:00,escalated,3,0.0,1
CP0053,C0543,O01236,supportexperience,phone,high,2025-05-29 22:57:00,resolved,13,26.07,3
CP0054,C0224,O00453,delay,app,medium,2024-12-07 12:49:00,resolved,1,36.38,2
CP0055,C0186,O00836,missedpickup,chatbot,high,2025-09-23 16:20:00,resolved,14,60.3,3
CP0056,C0368,O00737,delay,email,low,2024-03-20 03:53:00,open,9,7.02,1
CP0057,C0191,O00125,delay,app,medium,2025-09-23 16:27:00,resolved,5,24.91,2
CP0058,C0271,O00056,supportexperience,app,medium,2025-10-09 20:28:00,escalated,1,10.06,2
CP0059,C0351,O00603,delay,email,high,2024-03-04 23:29:00,resolved,11,59.75,3
CP0060,C0490,O00869,missedpickup,app,low,2024-03-05 05:39:00,resolved,4,0.0,1
CP0061,C0545,O00980,driverbehaviour,phone,medium,2024-12-07 23:02:00,awaitingcustomer,11,52.16,2
CP0062,C0162,O00367,delay,email,low,2025-07-16 09:35:00,resolved,14,0.0,1
CP0063,C0164,O01219,billing,app,high,2025-06-28 09:52:00,escalated,10,51.86,3
CP0064,C0215,O00311,appissue,chatbot,high,2024-11-30 00:06:00,resolved,5,47.81,3
CP0065,C0162,O00367,appissue,email,low,2025-07-23 09:35:00,resolved,5,18.74,1
CP0066,C0552,O00741,appissue,email,medium,2025-06-11 01:28:00,resolved,10,25.09,2
CP0067,C0599,O00954,missedpickup,app,low,2024-07-22 02:17:00,resolved,6,0.0,1
CP0068,C0166,O00743,damage,app,low,2024-02-13 01:34:00,resolved,10,0.0,1
CP0069,C0583,O00163,delay,chatbot,medium,2025-06-20 18:36:00,resolved,4,35.96,2
CP0070,C0255,O00206,delay,phone,medium,2025-12-20 14:25:00,escalated,7,28.5,2
CP0071,C0092,O00870,delay,chatbot,medium,2024-11-05 14:16:00,awaitingcustomer,10,17.48,2
