customer_id,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status
C0001,26,north,sme,2024-11-27 04:25:00,44.9,69.2,app,active
C0002,61,airport,consumer,2025-10-28 01:04:00,55.4,66.6,app,active
C0003,66,east,consumer,2025-07-02 03:23:00,75.9,33.8,unknown,active
C0004,75,central,consumer,2025-08-19 01:58:00,32.5,33.0,app,active
C0005,26,riverside,consumer,2025-06-03 06:02:00,55.9,100.0,web,active
C0006,41,west,consumer,2024-03-29 13:26:00,39.9,43.3,web,active
C0007,54,west,consumer,2024-03-12 07:05:00,36.1,39.0,app,active
C0008,70,north,sme,2025-07-18 13:03:00,84.6,65.2,web,active
C0009,34,south,consumer,2025-08-02 03:14:00,62.6,40.8,app,active
C0010,23,west,consumer,2025-10-07 20:37:00,87.2,48.6,phone,active
C0011,49,ctr,consumer,2024-03-04 18:37:00,79.9,72.5,web,active
C0012,60,airport,consumer,2025-02-10 01:14:00,46.3,74.4,app,active
C0013,30,east,enterprise,2024-02-17 17:54:00,31.3,51.7,app,active
C0014,62,north,consumer,2024-05-16 09:26:00,94.1,81.0,app,active
C0015,37,south,sme,2024-05-27 17:07:00,54.5,52.8,phone,active
C0016,21,riverside,consumer,2025-08-07 09:35:00,42.7,50.9,web,active
C0017,30,south,sme,2025-11-29 05:06:00,72.1,55.4,app,active
C0018,56,west,consumer,2025-08-18 18:40:00,63.2,49.6,web,dormant
C0019,67,riverside,consumer,2024-07-11 11:06:00,50.3,65.5,app,dormant
C0020,67,north,sme,2025-07-14 22:04:00,55.5,60.8,app,active
C0021,30,central,sme,2025-07-31 01:39:00,63.6,40.8,phone,active
C0022,71,riverside,consumer,2024-07-29 15:43:00,62.2,58.9,app,active
C0023,52,south,consumer,2025-06-28 13:49:00,73.1,45.2,web,active
C0024,66,west,consumer,2024-11-17 14:37:00,55.3,44.5,app,active
C0025,23,riverside,consumer,2025-04-09 11:19:00,55.5,52.8,app,active
C0026,34,north,enterprise,2024-09-11 05:44:00,70.6,74.8,phone,active
C0027,53,west,sme,2024-09-06 02:36:00,66.0,60.7,web,dormant
C0028,22,ctr,consumer,2024-11-03 16:31:00,78.5,79.6,app,active
C0029,44,central,consumer,2024-12-17 23:28:00,57.0,85.2,app,active
C0030,63,west,consumer,2024-10-21 19:04:00,59.4,54.8,app,active
C0031,35,south,consumer,2024-04-30 16:26:00,42.5,44.0,web,active
C0032,69,west,consumer,2024-06-17 10:09:00,85.0,40.5,phone,dormant
C0033,58,east,consumer,2025-05-15 13:02:00,38.7,60.8,app,active
