delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_duration_minutes,promised_window_hours,promised_window_minutes,is_delayed,is_failed,customer_id,service_type,order_created_at,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,high_risk_vehicle,hub_name,zone,hub_type,capacity_score
DL00001,O00938,D004,V056,H05,2024-06-18 10:57:00,2024-06-19 09:05:59.904311,failed,17.26,1,0,3.07,12.05,1328.9984051833335,6,360,1,1,C0567,business,2024-06-18 09:48:00,central,central,medium,151.14,web,0,74,east,consumer,2024-02-18 04:31:00,79.7,64.9,app,active,airport,parttime,13,88.9,4.75,morning,1,ev,central,2024-06-09 16:18:00,78.4,29849,active,v2.2,0,Central Core,central,control,88
DL00003,O00639,D006,V049,H02,2025-06-02 20:39:00,2025-06-02 21:45:32.366770,ontime,7.92,0,0,4.98,8.51,66.53944616666666,2,120,0,0,C0480,medical,2025-06-02 19:12:00,central,north,medium,141.93,web,0,26,north,enterprise,2025-03-02 00:55:00,67.6,49.6,app,dormant,central,fulltime,8,78.8,4.38,flexible,1,diesel,east,2025-12-09 16:47:00,55.9,15278,active,v2.2,1,South Link,south,dispatch,78
DL00004,O00313,D116,V055,H02,2024-03-08 23:31:00,2024-03-09 23:30:08.103702,delayed,16.42,0,0,4.18,13.62,1439.1350616999998,24,1440,0,0,C0616,medical,2024-03-08 20:58:00,south,north,low,11.11,app,0,49,riverside,consumer,2024-11-30 06:56:00,65.9,78.2,phone,active,central,fulltime,4,58.2,4.19,morning,1,hybrid,east,2025-06-05 13:40:00,83.3,85635,active,v2.1,0,South Link,south,dispatch,78
DL00005,O00844,D108,V034,H01,2025-09-21 11:43:00,2025-09-21 15:45:34.131056,ontime,14.52,1,0,4.18,9.22,242.56885093333332,6,360,0,0,C0276,medical,2025-09-21 09:29:00,riverside,riverside,high,76.02,app,0,47,south,consumer,2024-11-15 02:59:00,66.9,76.6,app,active,south,fulltime,10,70.6,4.33,morning,1,ev,riverside,2025-05-24 09:58:00,94.2,210683,inrepair,v2.0,1,North Exchange,north,dispatch,82
DL00006,O00029,D037,V098,H03,2024-09-11 12:40:00,2024-09-12 17:11:52.384869,delayed,13.84,0,0,1.57,9.58,1711.87308115,24,1440,1,0,C0366,medical,2024-09-11 12:22:00,east,ctr,medium,190.94,web,0,70,south,consumer,2025-12-22 20:19:00,59.6,51.2,phone,dormant,north,parttime,7,63.9,4.67,morning,1,diesel,west,2025-12-29 15:01:00,69.7,73011,active,v2.1,1,East Dock,east,warehouse,74
DL00007,O00097,D151,V037,H07,2024-01-09 13:41:00,2024-01-10 23:39:11.072850,delayed,32.72,0,0,4.64,17.7,2038.1845475,24,1440,1,0,C0303,parcel,2024-01-09 11:58:00,airport,airport,medium,72.64,app,1,66,north,consumer,2025-10-12 04:15:00,76.7,70.4,web,active,east,fulltime,2,71.3,4.69,flexible,1,cargovan,south,2025-06-13 23:43:00,56.6,52146,inrepair,v1.9,1,Riverside Hub,riverside,warehouse,66
DL00008,O00207,D082,V066,H03,2024-08-22 21:34:00,2024-08-22 23:22:21.531162,ontime,7.16,1,0,3.76,11.66,108.3588527,6,360,0,0,C0023,business,2024-08-22 19:33:00,ctr,riverside,medium,80.33,app,0,52,south,consumer,2025-06-28 13:49:00,73.1,45.2,web,active,west,parttime,14,74.1,4.63,evening,1,hybrid,north,2024-04-10 18:00:00,77.7,98535,scheduled,v2.2,0,East Dock,east,warehouse,74
DL00009,O00297,D088,V029,H05,2024-04-12 21:33:00,2024-04-13 01:18:52.673288,ontime,40.23,1,0,3.7,15.78,225.87788813333333,6,360,0,0,C0560,passenger,2024-04-12 20:51:00,airport,riverside,low,151.53,web,0,29,north,sme,2025-06-12 08:19:00,59.0,56.2,web,active,riverside,contract,4,84.3,4.17,morning,1,ev,north,2024-12-04 10:53:00,,130270,active,v2.0,0,Central Core,central,control,88
DL00010,O00836,D058,V057,H08,2025-09-22 19:09:00,2025-09-23 01:15:29.151459,failed,9.85,1,0,3.2,9.31,366.48585765,6,360,1,1,C0186,passenger,2025-09-22 16:20:00,south,north,low,45.9,app,1,56,east,consumer,2024-03-15 08:01:00,57.5,57.8,phone,dormant,airport,fulltime,9,82.7,4.27,flexible,1,ev,riverside,2025-06-07 06:32:00,76.0,160770,inrepair,v2.0,1,Midtown Relay,central,charging,63
DL00012,O01207,D051,V017,H05,2024-12-26 19:41:00,2024-12-27 09:26:05.387672,failed,16.96,3,0,4.04,16.98,825.0897945333332,6,360,1,1,C0197,business,2024-12-26 18:58:00,central,riverside,medium,321.68,app,0,29,riverside,consumer,2024-11-08 16:48:00,58.4,62.0,app,active,west,fulltime,3,75.4,3.58,evening,1,hybrid,riverside,2024-04-23 12:54:00,82.4,169703,inrepair,v2.2,1,Central Core,central,control,88
