incident_id,delivery_id,incident_type,reported_at,severity,resolution_status,resolved_hours,incident_severity_score,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_duration_minutes,promised_window_hours,promised_window_minutes,is_delayed,is_failed,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,high_risk_vehicle,hub_name,zone,hub_type,capacity_score
I0001,DL00221,batteryalert,2024-03-11 23:46:00,medium,escalated,12.3,2,O00594,D151,V092,H02,2024-03-11 21:43:00,2024-03-11 22:58:44.220273,ontime,12.09,3.0,0.0,3.25,11.03,75.73700455,4.0,240.0,0.0,0.0,east,fulltime,2.0,71.3,4.69,flexible,1.0,hybrid,east,2024-01-07 14:19:00,80.5,36143.0,inrepair,v2.1,1.0,South Link,south,dispatch,78.0
I0002,DL00578,batteryalert,2024-02-21 10:56:00,low,open,9.6,1,O00115,D032,V108,H06,2024-02-21 08:24:00,2024-02-21 14:09:53.056302,ontime,11.09,0.0,0.0,4.55,7.9,345.8842717,6.0,360.0,0.0,0.0,east,parttime,6.0,81.5,3.99,evening,1.0,diesel,airport,2025-01-31 06:29:00,54.6,141290.0,inrepair,v1.9,1.0,Airport Hub,airport,dispatch,71.0
I0003,DL00175,temperatureissue,2025-04-17 23:22:00,medium,open,22.0,2,O00583,D036,V118,H03,2025-04-17 21:40:00,2025-04-18 00:57:45.636508,ontime,15.62,1.0,0.0,3.93,9.26,197.76060846666667,6.0,360.0,0.0,0.0,airport,parttime,9.0,79.3,4.69,morning,1.0,diesel,riverside,2025-02-18 12:40:00,78.0,145165.0,active,v2.1,0.0,East Dock,east,warehouse,74.0
I0004,DL00417,proofmissing,2025-02-09 00:16:00,medium,closed,9.8,2,O00615,D054,V085,H04,2025-02-08 21:37:00,2025-02-08 23:17:10.791004,ontime,13.05,0.0,0.0,4.08,18.58,100.17985006666666,1.0,60.0,1.0,0.0,west,fulltime,3.0,80.1,4.32,morning,1.0,cargovan,south,2025-09-30 12:01:00,87.3,145652.0,active,v2.1,0.0,West Gate,west,dispatch,69.0
I0005,DL00897,routedeviation,2025-01-04 02:49:00,low,open,13.0,1,O00672,D084,V043,H07,2025-01-04 00:01:00,2025-01-04 23:54:43.323541,ontime,33.64,2.0,0.0,4.06,29.43,1433.7220590166667,24.0,1440.0,0.0,0.0,central,parttime,2.0,47.2,3.99,evening,1.0,ev,south,2025-02-23 11:32:00,76.4,149922.0,scheduled,v2.0,0.0,Riverside Hub,riverside,warehouse,66.0
I0006,DL00634,customernoshow,2025-08-08 21:26:00,high,pendingvendor,19.9,3,O00245,D077,V032,H02,2025-08-08 19:33:00,2025-08-09 05:46:51.012604,delayed,11.96,1.0,0.0,2.3,9.41,613.8502100666667,4.0,240.0,1.0,0.0,south,fulltime,8.0,64.9,3.68,morning,1.0,cargovan,north,2024-01-11 00:03:00,74.1,102207.0,active,v1.9,0.0,South Link,south,dispatch,78.0
I0007,DL00495,appsyncerror,2024-05-23 02:29:00,low,pendingvendor,4.8,1,O01189,D129,V006,H05,2024-05-23 01:38:00,2024-05-23 04:12:11.690549,ontime,33.39,2.0,0.0,4.94,19.23,154.19484248333336,6.0,360.0,0.0,0.0,north,fulltime,10.0,64.9,4.18,night,1.0,ev,central,2025-11-22 06:39:00,78.6,141381.0,active,v2.1,0.0,Central Core,central,control,88.0
I0008,DL00602,routedeviation,2024-08-17 01:27:00,medium,closed,12.1,2,O00318,D157,V009,H03,2024-08-17 01:09:00,2024-08-17 11:45:54.685050,delayed,7.02,1.0,1.0,2.86,11.51,636.9114175,6.0,360.0,1.0,0.0,south,fulltime,13.0,74.1,4.42,evening,1.0,cargovan,south,2025-05-01 08:50:00,68.8,156687.0,active,v2.1,1.0,East Dock,east,warehouse,74.0
I0009,DL00636,customernoshow,2024-08-24 22:28:00,medium,closed,15.8,2,O00880,D054,V104,H04,2024-08-24 19:54:00,2024-08-25 19:15:28.926324,ontime,10.04,2.0,0.0,3.89,13.35,1401.4821054,24.0,1440.0,0.0,0.0,west,fulltime,3.0,80.1,4.32,morning,1.0,ev,east,2025-06-30 12:21:00,73.9,91441.0,active,v2.1,0.0,West Gate,west,dispatch,69.0
I0010,DL00052,customernoshow,2025-05-06 14:17:00,medium,closed,9.4,2,O00554,D168,V020,H08,2025-05-06 10:37:00,2025-05-06 20:57:25.303009,delayed,26.380000000000003,1.0,1.0,2.52,24.54,620.4217168166667,2.0,120.0,1.0,0.0,north,fulltime,12.0,93.6,3.84,morning,1.0,hybrid,riverside,2024-10-26 11:25:00,82.3,187051.0,scheduled,v2.1,0.0,Midtown Relay,central,charging,63.0
