incident_id,delivery_id,incident_type,reported_at,severity,resolution_status,resolved_hours,incident_severity_score
I0001,DL00221,batteryalert,2024-03-11 23:46:00,medium,escalated,12.3,2
I0002,DL00578,batteryalert,2024-02-21 10:56:00,low,open,9.6,1
I0003,DL00175,temperatureissue,2025-04-17 23:22:00,medium,open,22.0,2
I0004,DL00417,proofmissing,2025-02-09 00:16:00,medium,closed,9.8,2
I0005,DL00897,routedeviation,2025-01-04 02:49:00,low,open,13.0,1
I0006,DL00634,customernoshow,2025-08-08 21:26:00,high,pendingvendor,19.9,3
I0007,DL00495,appsyncerror,2024-05-23 02:29:00,low,pendingvendor,4.8,1
I0008,DL00602,routedeviation,2024-08-17 01:27:00,medium,closed,12.1,2
I0009,DL00636,customernoshow,2024-08-24 22:28:00,medium,closed,15.8,2
I0010,DL00052,customernoshow,2025-05-06 14:17:00,medium,closed,9.4,2
I0011,DL00376,customernoshow,2024-09-21 19:17:00,medium,closed,20.4,2
I0012,DL00366,routedeviation,2025-07-24 06:39:00,medium,escalated,18.7,2
I0013,DL00253,batteryalert,2024-09-30 07:49:00,high,closed,20.9,3
I0014,DL00075,vehiclefault,2024-08-06 04:32:00,high,open,5.0,3
I0015,DL00607,proofmissing,2024-09-11 17:48:00,high,closed,,3
I0016,DL00724,appsyncerror,2024-10-10 08:26:00,low,pendingvendor,18.7,1
I0017,DL00809,proofmissing,2025-02-27 00:31:00,low,closed,,1
I0018,DL00574,appsyncerror,2025-11-08 21:55:00,high,closed,10.5,3
I0019,DL00685,batteryalert,2024-02-12 07:05:00,high,closed,11.3,3
I0020,DL00921,temperatureissue,2025-01-04 04:14:00,critical,closed,3.3,4
I0021,DL00186,safetynearmiss,2024-01-14 06:44:00,medium,escalated,4.8,2
I0022,DL00097,batteryalert,2024-07-17 01:29:00,medium,escalated,26.8,2
I0023,DL00904,proofmissing,2025-08-19 08:30:00,medium,escalated,4.8,2
I0024,DL00850,proofmissing,2025-08-30 22:55:00,low,closed,12.0,1
I0025,DL00413,batteryalert,2024-08-30 02:36:00,medium,pendingvendor,5.7,2
I0026,DL00254,routedeviation,2024-12-29 16:12:00,high,closed,16.8,3
I0027,DL00474,vehiclefault,2025-02-25 04:16:00,medium,closed,4.3,2
I0028,DL00479,routedeviation,2024-11-03 04:12:00,low,closed,21.2,1
I0029,DL00198,vehiclefault,2024-12-08 08:07:00,medium,open,11.8,2
I0030,DL00448,routedeviation,2024-08-30 15:06:00,low,escalated,20.9,1
I0031,DL00587,proofmissing,2024-01-12 10:43:00,low,escalated,16.7,1
I0032,DL00181,vehiclefault,2024-08-26 02:02:00,low,open,11.3,1
I0033,DL00694,batteryalert,2024-03-31 09:38:00,medium,open,4.3,2
I0034,DL00684,appsyncerror,2024-02-06 14:01:00,medium,pendingvendor,23.7,2
I0035,DL00882,appsyncerror,2024-06-26 15:00:00,low,closed,0.8,1
I0036,DL00272,vehiclefault,2025-09-02 17:36:00,low,closed,7.8,1
I0037,DL00938,temperatureissue,2024-04-04 06:40:00,high,closed,13.3,3
I0038,DL00032,proofmissing,2025-01-29 06:31:00,medium,closed,5.2,2
I0039,DL00208,safetynearmiss,2024-04-13 05:39:00,high,closed,2.6,3
I0040,DL00573,proofmissing,2024-05-08 00:38:00,medium,escalated,8.1,2
I0041,DL00072,safetynearmiss,2025-11-20 07:56:00,medium,closed,17.3,2
I0042,DL00547,temperatureissue,2025-10-07 21:18:00,medium,closed,22.7,2
I0043,DL00009,appsyncerror,2024-04-12 22:42:00,low,open,20.1,1
I0044,DL00590,proofmissing,2024-08-31 06:13:00,critical,closed,3.2,4
I0045,DL00341,batteryalert,2024-11-14 01:36:00,medium,open,12.2,2
I0046,DL00014,proofmissing,2024-05-07 14:02:00,high,pendingvendor,6.9,3
I0047,DL00919,safetynearmiss,2025-12-26 23:23:00,medium,open,23.6,2
I0048,DL00265,routedeviation,2024-06-28 12:42:00,low,closed,2.2,1
I0049,DL00493,batteryalert,2025-08-09 21:45:00,medium,closed,24.3,2
I0050,DL00207,customernoshow,2024-03-17 01:48:00,high,open,20.9,3
I0051,DL00365,customernoshow,2025-09-05 09:36:00,low,pendingvendor,24.8,1
I0052,DL00690,vehiclefault,2024-12-12 07:51:00,medium,open,21.6,2
I0053,DL00864,proofmissing,2025-10-27 18:48:00,critical,escalated,11.9,4
I0054,DL00324,proofmissing,2024-08-14 07:43:00,low,closed,17.0,1
I0055,DL00633,routedeviation,2024-12-11 06:59:00,high,open,21.5,3
I0056,DL00788,vehiclefault,2025-05-07 05:14:00,low,pendingvendor,14.5,1
I0057,DL00766,proofmissing,2025-01-27 07:52:00,high,open,6.7,3
I0058,DL00285,vehiclefault,2025-06-22 16:15:00,low,open,14.9,1
I0059,DL00670,vehiclefault,2024-08-30 20:57:00,high,closed,15.7,3
I0060,DL00080,vehiclefault,2025-10-14 11:03:00,low,closed,1.0,1
I0061,DL00121,temperatureissue,2024-03-14 04:34:00,medium,open,20.1,2
I0062,DL00481,temperatureissue,2024-03-14 18:27:00,low,closed,23.5,1
I0063,DL00669,routedeviation,2025-06-01 06:53:00,low,open,13.3,1
I0064,DL00366,customernoshow,2025-07-24 05:26:00,medium,closed,18.6,2
I0065,DL00435,proofmissing,2024-09-13 19:32:00,low,closed,10.3,1
I0066,DL00042,routedeviation,2024-10-04 02:46:00,low,closed,28.0,1
I0067,DL00096,vehiclefault,2025-03-18 18:01:00,medium,closed,2.9,2
I0068,DL00799,customernoshow,2024-04-25 20:37:00,low,open,16.6,1
I0069,DL00592,temperatureissue,2024-01-19 20:43:00,medium,closed,9.0,2
I0070,DL00250,customernoshow,2024-08-27 18:10:00,low,open,9.5,1
I0071,DL00672,proofmissing,2025-05-27 14:37:00,critical,closed,8.2,4
I0072,DL00503,vehiclefault,2024-03-15 01:30:00,medium,closed,1.4,2
I0073,DL00725,routedeviation,2025-11-29 02:34:00,high,open,3.2,3
I0074,DL00256,appsyncerror,2025-01-22 16:01:00,medium,pendingvendor,21.7,2
I0075,DL00568,proofmissing,2024-11-11 10:10:00,low,closed,4.5,1
I0076,DL00382,routedeviation,2024-12-05 22:19:00,medium,closed,3.0,2
I0077,DL00455,proofmissing,2024-04-12 09:41:00,medium,closed,14.2,2
I0078,DL00562,batteryalert,2024-12-14 13:04:00,low,closed,4.7,1
I0079,DL00187,proofmissing,2024-03-05 23:18:00,high,open,1.1,3
I0080,DL00336,proofmissing,2025-02-21 18:38:00,critical,open,27.8,4
I0081,DL00224,appsyncerror,2025-01-20 04:36:00,high,closed,20.3,3
I0082,DL00131,batteryalert,2025-07-05 13:14:00,high,escalated,13.0,3
I0083,DL00820,proofmissing,2024-12-13 20:29:00,high,pendingvendor,9.0,3
I0084,DL00478,temperatureissue,2024-01-31 20:03:00,high,pendingvendor,0.0,3
I0085,DL00928,routedeviation,2025-10-31 01:01:00,low,pendingvendor,6.0,1
I0086,DL00247,customernoshow,2024-12-31 14:48:00,low,pendingvendor,7.2,1
I0087,DL00148,proofmissing,2025-12-31 11:28:00,medium,open,,2
I0088,DL00348,proofmissing,2024-10-08 02:28:00,high,escalated,2.2,3
I0089,DL00915,routedeviation,2024-11-28 15:09:00,high,closed,13.8,3
I0090,DL00576,proofmissing,2024-11-17 03:39:00,high,closed,2.6,3
I0091,DL00239,temperatureissue,2024-08-14 09:11:00,medium,closed,23.1,2
I0092,DL00847,proofmissing,2024-12-22 20:55:00,high,open,,3
