order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag
O00001,C0292,passenger,2024-08-20 14:43:00,6,airport,south,medium,126.65,app,0
O00002,C0459,passenger,2024-05-14 22:16:00,24,north,airport,low,109.3,app,0
O00003,C0161,passenger,2025-09-02 14:37:00,4,west,airport,high,33.5,phone,0
O00004,C0520,parcel,2025-01-11 17:15:00,2,riverside,north,medium,10.04,app,1
O00005,C0558,retail,2025-02-17 19:32:00,12,riverside,south,low,125.58,phone,0
O00006,C0437,retail,2024-08-05 04:55:00,1,central,east,high,151.44,web,1
O00007,C0001,business,2024-05-05 21:32:00,2,central,airport,low,76.12,app,0
O00008,C0157,parcel,2024-04-03 17:54:00,4,riverside,riverside,medium,35.06,phone,0
O00009,C0141,retail,2024-10-03 23:49:00,12,north,east,critical,78.93,app,0
O00010,C0171,retail,2025-01-29 00:42:00,6,south,north,low,34.55,phone,0
O00011,C0340,parcel,2025-08-04 04:19:00,12,west,central,low,79.1,phone,0
O00012,C0567,business,2024-01-16 12:45:00,12,east,airport,medium,135.67,app,0
O00013,C0234,retail,2024-03-29 22:11:00,24,airport,central,medium,302.7,app,0
O00014,C0318,passenger,2024-08-25 10:12:00,6,ctr,ctr,low,90.96,phone,0
O00015,C0300,business,2025-11-09 03:04:00,6,south,east,high,145.58,web,0
O00016,C0022,parcel,2025-07-29 11:51:00,6,central,ctr,medium,92.66,app,0
O00017,C0499,parcel,2025-05-27 09:12:00,24,airport,south,low,60.9,app,0
O00018,C0506,passenger,2024-03-08 22:19:00,6,north,riverside,high,121.11,phone,0
O00019,C0425,passenger,2024-03-31 07:18:00,6,north,central,low,56.26,phone,0
O00020,C0249,retail,2024-05-09 22:25:00,2,west,airport,medium,100.78,app,0
O00021,C0218,passenger,2024-10-16 11:25:00,2,west,north,medium,49.99,web,0
O00022,C0594,retail,2025-04-20 20:56:00,12,riverside,central,medium,134.88,phone,0
O00023,C0077,passenger,2025-10-05 04:59:00,4,north,north,medium,122.25,app,0
O00024,C0397,passenger,2024-10-10 05:01:00,6,south,riverside,high,132.2,app,1
O00025,C0297,passenger,2025-01-10 21:51:00,6,north,riverside,critical,66.51,app,0
O00026,C0193,parcel,2025-11-10 22:22:00,24,east,west,high,51.09,app,0
O00027,C0024,parcel,2025-02-26 00:42:00,4,riverside,north,medium,96.62,app,0
O00028,C0160,retail,2025-12-21 22:29:00,4,north,south,high,59.44,app,0
O00029,C0366,medical,2024-09-11 12:22:00,24,east,ctr,medium,190.94,web,0
O00030,C0406,medical,2025-10-05 03:11:00,12,north,east,low,44.84,app,0
O00031,C0573,passenger,2024-10-25 03:17:00,24,east,airport,medium,55.14,app,0
O00032,C0297,passenger,2025-09-15 23:14:00,1,central,east,medium,126.43,app,1
O00033,C0471,retail,2025-12-30 21:02:00,6,north,east,low,36.7,phone,1
O00034,C0023,retail,2025-02-18 01:38:00,2,north,south,low,40.88,app,0
O00035,C0524,business,2024-06-14 13:12:00,4,north,central,medium,209.07,web,0
O00036,C0126,parcel,2024-11-06 04:24:00,4,riverside,north,medium,73.14,app,0
O00037,C0015,retail,2024-02-10 17:19:00,24,east,airport,low,119.31,phone,0
O00038,C0142,retail,2025-10-06 20:11:00,2,riverside,east,medium,168.48,phone,0
O00039,C0351,parcel,2025-08-01 07:36:00,6,east,riverside,low,54.85,web,1
O00040,C0014,parcel,2025-05-24 22:33:00,1,north,airport,low,74.65,app,0
O00041,C0243,retail,2024-09-17 13:42:00,12,riverside,west,low,19.15,app,0
O00042,C0606,retail,2025-12-01 18:22:00,24,riverside,ctr,medium,133.72,phone,1
O00043,C0416,retail,2024-01-01 03:53:00,12,east,riverside,medium,48.59,api,0
O00044,C0227,business,2025-11-02 09:57:00,4,west,riverside,medium,61.45,phone,1
O00045,C0326,parcel,2024-02-13 18:38:00,6,south,airport,critical,56.64,,0
O00046,C0538,parcel,2025-12-13 01:15:00,4,north,central,high,85.48,app,0
O00047,C0220,medical,2025-11-28 03:02:00,2,west,north,medium,39.57,app,0
O00048,C0145,medical,2024-11-22 06:49:00,4,riverside,north,low,43.37,app,0
O00049,C0380,passenger,2024-12-19 23:58:00,2,west,south,low,66.46,phone,1
O00050,C0544,passenger,2024-03-29 13:44:00,1,north,ctr,low,33.93,app,0
O00051,C0185,business,2025-02-07 23:39:00,12,airport,east,critical,14.48,web,1
O00052,C0150,retail,2024-08-14 08:33:00,12,north,riverside,medium,293.65,api,0
O00053,C0054,parcel,2024-04-02 11:27:00,24,east,east,low,73.56,app,0
O00054,C0478,medical,2025-03-29 10:44:00,4,north,north,low,54.41,web,0
O00055,C0454,retail,2025-05-30 23:44:00,2,airport,riverside,medium,73.7,app,0
O00056,C0271,parcel,2025-10-05 20:28:00,4,south,central,high,160.35,web,0
O00057,C0226,business,2025-06-04 01:43:00,4,east,north,medium,194.03,app,0
O00058,C0083,passenger,2025-12-16 06:27:00,2,south,east,critical,51.95,web,0
O00059,C0640,passenger,2025-11-20 16:54:00,2,central,airport,medium,20.32,web,0
O00060,C0258,medical,2024-05-10 15:48:00,6,north,east,critical,37.52,web,0
O00061,C0289,passenger,2024-07-12 01:44:00,6,airport,north,high,238.9,web,1
O00062,C0177,passenger,2025-07-26 08:11:00,4,west,airport,medium,45.44,web,0
O00063,C0168,retail,2025-07-13 05:49:00,12,south,airport,low,57.56,app,0
O00064,C0346,business,2025-10-14 07:34:00,12,central,riverside,high,45.43,app,0
O00065,C0285,parcel,2024-09-23 07:03:00,4,south,west,high,61.59,app,0
O00066,C0421,passenger,2024-06-21 11:22:00,4,south,east,low,237.58,app,0
O00067,C0339,passenger,2025-02-25 02:12:00,6,west,west,critical,131.1,web,0
O00068,C0084,parcel,2025-10-13 09:08:00,2,riverside,east,medium,40.58,app,0
O00069,C0369,passenger,2024-05-19 21:45:00,12,airport,riverside,medium,103.29,phone,1
O00070,C0125,retail,2025-05-13 21:30:00,4,ctr,airport,low,165.63,app,0
O00071,C0109,medical,2024-08-31 22:15:00,1,north,south,low,157.58,phone,0
O00072,C0060,medical,2024-01-07 16:44:00,2,west,riverside,medium,7.32,app,0
O00073,C0331,passenger,2025-03-31 04:59:00,4,ctr,south,high,30.82,app,0
O00074,C0644,parcel,2025-10-18 11:44:00,6,riverside,riverside,critical,20.6,app,0
O00075,C0026,business,2024-11-02 04:56:00,2,north,east,medium,85.65,web,0
O00076,C0075,retail,2025-12-25 04:37:00,4,ctr,riverside,low,100.62,phone,0
O00077,C0543,medical,2025-07-30 07:21:00,4,riverside,central,low,150.98,app,0
O00078,C0434,parcel,2025-10-06 03:35:00,6,west,riverside,medium,94.04,app,0
O00079,C0353,parcel,2025-03-10 05:43:00,2,west,airport,medium,48.85,app,0
O00080,C0082,parcel,2025-11-13 04:38:00,4,south,south,medium,135.71,app,0
O00081,C0004,passenger,2025-04-17 12:53:00,6,west,airport,low,208.38,app,0
O00082,C0531,retail,2024-07-30 03:44:00,12,central,west,medium,36.55,app,0
O00083,C0215,medical,2024-10-23 00:23:00,2,airport,south,low,127.88,app,0
O00084,C0103,passenger,2025-05-13 06:02:00,4,west,north,high,157.73,phone,1
O00085,C0505,passenger,2024-03-02 08:19:00,4,north,riverside,low,23.13,app,0
O00086,C0255,passenger,2024-07-20 03:44:00,4,central,airport,high,66.09,app,0
O00087,C0476,business,2024-11-12 14:07:00,4,south,north,critical,56.73,phone,0
O00088,C0157,medical,2024-06-14 10:28:00,24,riverside,east,low,101.67,app,0
O00089,C0339,medical,2025-04-24 18:23:00,6,south,north,high,52.58,web,1
O00090,C0490,business,2024-10-23 05:35:00,4,riverside,south,medium,86.48,app,0
O00091,C0564,parcel,2024-03-14 01:00:00,6,west,airport,critical,43.61,web,0
O00092,C0268,retail,2025-04-24 15:05:00,6,south,east,medium,56.53,web,0
O00093,C0083,business,2024-12-05 23:36:00,4,ctr,west,low,184.11,web,0
O00094,C0361,parcel,2024-09-27 03:41:00,6,airport,north,medium,62.08,phone,0
O00095,C0378,medical,2025-05-15 13:31:00,24,south,north,low,103.06,app,0
O00096,C0441,business,2024-07-13 17:20:00,2,north,west,critical,153.48,web,0
O00097,C0303,parcel,2024-01-09 11:58:00,24,airport,airport,medium,72.64,app,1
O00098,C0586,passenger,2024-04-03 20:18:00,1,north,south,medium,79.53,phone,0
O00099,C0079,retail,2025-10-04 19:59:00,12,airport,east,low,75.64,app,0
O00100,C0300,passenger,2025-10-30 22:16:00,6,riverside,north,medium,23.64,web,0
O00101,C0633,parcel,2025-10-30 07:05:00,24,west,west,low,42.02,app,0
O00102,C0253,passenger,2024-05-21 23:01:00,2,central,north,high,146.42,app,0
O00103,C0456,business,2024-01-26 12:53:00,12,south,west,low,77.37,app,0
O00104,C0395,passenger,2024-05-28 09:23:00,4,east,central,medium,34.3,web,0
O00105,C0070,passenger,2024-07-09 20:33:00,4,north,east,high,18.19,web,0
O00106,C0065,business,2025-11-29 05:06:00,6,east,riverside,low,68.37,app,0
O00107,C0205,medical,2024-11-13 23:39:00,2,riverside,ctr,low,182.35,app,0
O00108,C0046,medical,2024-11-30 12:11:00,12,west,east,medium,70.18,app,0
O00109,C0427,medical,2025-10-24 11:20:00,4,west,east,medium,9.68,app,0
O00110,C0446,passenger,2024-08-23 11:08:00,4,central,south,low,72.23,app,0
O00111,C0521,retail,2025-07-18 11:53:00,24,east,central,medium,52.06,web,0
O00112,C0051,passenger,2024-09-16 07:03:00,2,central,west,medium,86.44,app,0
O00113,C0640,business,2024-02-12 03:36:00,2,east,north,high,113.54,app,0
O00114,C0144,business,2025-10-05 22:25:00,12,south,riverside,high,15.52,app,1
O00115,C0157,passenger,2024-02-21 06:31:00,6,east,north,high,256.93,web,0
O00116,C0452,passenger,2025-03-09 15:46:00,4,north,airport,low,56.59,api,0
O00117,C0516,passenger,2024-06-10 09:38:00,12,east,south,medium,87.81,phone,0
O00118,C0087,retail,2025-08-18 20:05:00,6,south,south,medium,74.68,app,0
O00119,C0229,medical,2024-05-25 22:14:00,4,north,north,low,66.42,app,0
O00120,C0182,passenger,2024-06-16 04:28:00,6,airport,north,medium,85.27,phone,1
O00121,C0604,parcel,2025-10-14 12:05:00,6,east,north,medium,75.67,app,1
O00122,C0597,medical,2024-02-10 14:30:00,1,riverside,north,medium,27.55,app,0
O00123,C0649,retail,2024-07-14 06:46:00,2,west,east,high,21.55,app,0
O00124,C0481,passenger,2025-01-16 00:02:00,24,central,airport,low,34.31,web,1
O00125,C0191,retail,2025-09-17 16:27:00,24,west,south,medium,70.05,app,0
O00126,C0146,parcel,2024-05-26 09:04:00,12,airport,south,medium,55.22,web,0
O00127,C0572,parcel,2025-11-08 01:32:00,2,east,north,medium,171.31,app,0
O00128,C0611,medical,2025-12-28 13:56:00,24,airport,airport,medium,136.66,app,0
O00129,C0538,retail,2024-12-12 02:28:00,12,central,north,high,63.08,phone,0
O00130,C0259,passenger,2024-01-10 21:52:00,6,central,airport,medium,77.97,app,0
O00131,C0478,retail,2024-06-29 23:10:00,24,east,west,medium,14.11,app,0
