vehicle_id,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,high_risk_vehicle
V001,ev,north,2024-12-28 23:48:00,71.8,56928,active,v2.2,0
V002,ev,airport,2024-04-21 16:14:00,67.9,159368,inrepair,v2.2,1
V003,cargovan,north,2025-11-24 23:59:00,91.7,219359,active,v2.1,0
V004,hybrid,riverside,2024-06-07 13:21:00,,36310,active,v2.2,0
V005,cargovan,west,2025-11-15 11:08:00,58.6,146638,active,v2.2,1
V006,ev,central,2025-11-22 06:39:00,78.6,141381,active,v2.1,0
V007,diesel,airport,2025-09-17 08:52:00,68.6,78468,active,v2.2,1
V008,ev,riverside,2025-06-14 03:47:00,90.5,49711,active,v2.0,0
V009,cargovan,south,2025-05-01 08:50:00,68.8,156687,active,v2.1,1
V010,cargovan,north,2025-10-07 22:40:00,50.7,129032,inrepair,v2.1,1
V011,diesel,riverside,2025-12-21 04:26:00,74.1,43518,inrepair,v2.1,1
V012,hybrid,south,2024-04-15 00:26:00,56.2,52021,active,v2.1,1
V013,cargovan,west,2025-07-17 18:07:00,68.3,153106,scheduled,v2.0,1
V014,ev,airport,2025-05-24 12:36:00,100.0,206339,scheduled,v2.0,0
V015,cargovan,airport,2024-06-02 13:54:00,78.2,67614,inrepair,v1.9,1
V016,ev,west,2024-10-13 19:38:00,63.5,84395,active,v2.1,1
V017,hybrid,riverside,2024-04-23 12:54:00,82.4,169703,inrepair,v2.2,1
V018,diesel,riverside,2025-04-08 22:29:00,86.8,98363,scheduled,v2.1,0
V019,diesel,south,2024-10-21 23:22:00,70.4,151460,scheduled,v2.2,0
V020,hybrid,riverside,2024-10-26 11:25:00,82.3,187051,scheduled,v2.1,0
V021,diesel,central,2025-06-22 17:38:00,83.0,71294,active,v2.2,0
V022,hybrid,south,2025-01-28 20:20:00,89.6,44499,scheduled,v2.1,0
V023,hybrid,east,2024-01-07 23:54:00,70.7,188387,active,v2.1,0
V024,ev,east,2025-05-26 12:28:00,74.9,56967,active,v2.1,0
V025,diesel,airport,2024-11-03 05:34:00,42.0,52074,active,v2.1,1
V026,cargovan,riverside,2024-11-07 04:27:00,78.7,200276,inrepair,v2.2,1
V027,diesel,south,2025-08-12 12:37:00,78.6,51052,inrepair,v2.2,1
V028,ev,east,2024-08-25 02:52:00,75.4,149698,active,v2.0,0
V029,ev,north,2024-12-04 10:53:00,,130270,active,v2.0,0
V030,cargovan,north,2025-09-14 07:20:00,78.0,134360,active,v2.1,0
V031,ev,east,2024-07-28 13:57:00,89.3,193526,active,v1.9,0
V032,cargovan,north,2024-01-11 00:03:00,74.1,102207,active,v1.9,0
V033,ev,airport,2024-09-19 18:57:00,78.6,55241,inrepair,v2.2,1
V034,ev,riverside,2025-05-24 09:58:00,94.2,210683,inrepair,v2.0,1
V035,cargovan,east,2025-07-03 09:34:00,83.6,73804,active,v2.0,0
V036,diesel,north,2025-09-26 13:33:00,90.4,215767,inrepair,v2.1,1
V037,cargovan,south,2025-06-13 23:43:00,56.6,52146,inrepair,v1.9,1
V038,cargovan,central,2025-03-16 12:29:00,81.6,68032,active,v2.1,0
V039,ev,east,2025-01-01 01:38:00,69.5,37024,inrepair,v1.9,1
V040,ev,central,2025-11-23 11:28:00,90.0,133770,active,v2.0,0
V041,ev,east,2024-01-11 21:04:00,78.4,88129,active,v2.2,0
V042,ev,east,2025-06-21 07:06:00,80.5,215870,inrepair,v1.9,1
V043,ev,south,2025-02-23 11:32:00,76.4,149922,scheduled,v2.0,0
V044,ev,airport,2025-02-14 20:35:00,91.8,111243,active,v2.2,0
V045,ev,east,2025-08-10 04:56:00,88.0,190688,active,v2.2,0
